Team1,Team2,Map,Result
Wolves Esports,Nova Esports,Abyss,0
Wolves Esports,Nova Esports,Ascent,1
Wolves Esports,Nova Esports,Sunset,0
All Gamers,TYLOO,Lotus,1
All Gamers,TYLOO,Bind,0
All Gamers,TYLOO,Sunset,1
Dragon Ranger Gaming,Xi Lai Gaming,Abyss,1
Dragon Ranger Gaming,Xi Lai Gaming,Lotus,0
Dragon Ranger Gaming,Xi Lai Gaming,Haven,0
Dragon Ranger Gaming,Nova Esports,Sunset,0
Dragon Ranger Gaming,Nova Esports,Lotus,1
Dragon Ranger Gaming,Nova Esports,Haven,0
All Gamers,Wolves Esports,Sunset,0
All Gamers,Wolves Esports,Bind,1
All Gamers,Wolves Esports,Haven,0
TYLOO,Titan Esports Club,Sunset,1
TYLOO,Titan Esports Club,Haven,0
TYLOO,Titan Esports Club,Lotus,1
JDG Esports,Xi Lai Gaming,Bind,0
JDG Esports,Xi Lai Gaming,Ascent,0
Titan Esports Club,Nova Esports,Sunset,1
Titan Esports Club,Nova Esports,Haven,0
Titan Esports Club,Nova Esports,Abyss,0
TYLOO,Dragon Ranger Gaming,Bind,0
TYLOO,Dragon Ranger Gaming,Lotus,0
T1,ZETA DIVISION,Haven,1
T1,ZETA DIVISION,Ascent,1
T1,ZETA DIVISION,Sunset,0
T1,ZETA DIVISION,Bind,1
ZETA DIVISION,DetonatioN FocusMe,Ascent,0
ZETA DIVISION,DetonatioN FocusMe,Sunset,1
ZETA DIVISION,DetonatioN FocusMe,Haven,1
Wolves Esports,Xi Lai Gaming,Abyss,1
Wolves Esports,Xi Lai Gaming,Bind,1
Rex Regum Qeon,T1,Ascent,0
Rex Regum Qeon,T1,Icebox,0
JDG Esports,All Gamers,Haven,0
JDG Esports,All Gamers,Bind,1
JDG Esports,All Gamers,Sunset,0
Sentinels,Cloud9,Lotus,0
Sentinels,Cloud9,Bind,0
EDward Gaming,Team Heretics,Haven,0
EDward Gaming,Team Heretics,Sunset,1
EDward Gaming,Team Heretics,Lotus,1
EDward Gaming,Team Heretics,Bind,0
EDward Gaming,Team Heretics,Abyss,1
LEVIATÁN,Team Heretics,Icebox,0
LEVIATÁN,Team Heretics,Sunset,0
LEVIATÁN,Team Heretics,Abyss,1
LEVIATÁN,Team Heretics,Lotus,0
Team Heretics,Sentinels,Haven,0
Team Heretics,Sentinels,Icebox,1
Team Heretics,Sentinels,Abyss,1
EDward Gaming,LEVIATÁN,Icebox,0
EDward Gaming,LEVIATÁN,Lotus,1
EDward Gaming,LEVIATÁN,Abyss,1
Team Heretics,DRX,Abyss,0
Team Heretics,DRX,Sunset,1
Team Heretics,DRX,Icebox,1
Sentinels,FNATIC,Sunset,1
Sentinels,FNATIC,Bind,0
Sentinels,FNATIC,Lotus,1
LEVIATÁN,Team Heretics,Icebox,1
LEVIATÁN,Team Heretics,Lotus,1
Sentinels,EDward Gaming,Haven,1
Sentinels,EDward Gaming,Lotus,0
Sentinels,EDward Gaming,Sunset,0
G2 Esports,FNATIC,Haven,0
G2 Esports,FNATIC,Bind,0
DRX,Trace Esports,Lotus,1
DRX,Trace Esports,Abyss,1
Team Heretics,FNATIC,Lotus,1
Team Heretics,FNATIC,Abyss,1
G2 Esports,LEVIATÁN,Icebox,0
G2 Esports,LEVIATÁN,Abyss,0
Trace Esports,EDward Gaming,Bind,0
Trace Esports,EDward Gaming,Sunset,0
DRX,Sentinels,Sunset,0
DRX,Sentinels,Haven,0
EDward Gaming,Paper Rex,Icebox,0
EDward Gaming,Paper Rex,Sunset,1
EDward Gaming,Paper Rex,Lotus,1
LEVIATÁN,Team Vitality,Icebox,1
LEVIATÁN,Team Vitality,Sunset,1
FNATIC,KRÜ Esports,Sunset,0
FNATIC,KRÜ Esports,Haven,1
FNATIC,KRÜ Esports,Lotus,1
FUT Esports,Paper Rex,Sunset,0
FUT Esports,Paper Rex,Bind,0
TALON,Team Vitality,Lotus,0
TALON,Team Vitality,Sunset,0
Bilibili Gaming,KRÜ Esports,Lotus,0
Bilibili Gaming,KRÜ Esports,Icebox,0
Sentinels,FunPlus Phoenix,Bind,1
Sentinels,FunPlus Phoenix,Lotus,1
EDward Gaming,G2 Esports,Icebox,1
EDward Gaming,G2 Esports,Haven,0
EDward Gaming,G2 Esports,Bind,0
LEVIATÁN,Trace Esports,Bind,0
LEVIATÁN,Trace Esports,Sunset,1
LEVIATÁN,Trace Esports,Ascent,0
FNATIC,DRX,Abyss,0
FNATIC,DRX,Lotus,0
EDward Gaming,FUT Esports,Lotus,1
EDward Gaming,FUT Esports,Bind,1
G2 Esports,Paper Rex,Icebox,1
G2 Esports,Paper Rex,Lotus,1
Team Vitality,Trace Esports,Ascent,0
Team Vitality,Trace Esports,Sunset,1
Team Vitality,Trace Esports,Bind,0
LEVIATÁN,TALON,Bind,1
LEVIATÁN,TALON,Ascent,1
FNATIC,Bilibili Gaming,Bind,1
FNATIC,Bilibili Gaming,Lotus,1
DRX,KRÜ Esports,Haven,0
DRX,KRÜ Esports,Abyss,1
DRX,KRÜ Esports,Bind,1
FunPlus Phoenix,Team Heretics,Abyss,0
FunPlus Phoenix,Team Heretics,Bind,1
FunPlus Phoenix,Team Heretics,Lotus,0
G2 Esports,LEVIATÁN,Lotus,0
G2 Esports,LEVIATÁN,Haven,0
G2 Esports,LEVIATÁN,Bind,1
G2 Esports,LEVIATÁN,Ascent,0
LEVIATÁN,KRÜ Esports,Icebox,1
LEVIATÁN,KRÜ Esports,Haven,0
LEVIATÁN,KRÜ Esports,Sunset,0
LEVIATÁN,KRÜ Esports,Abyss,1
LEVIATÁN,KRÜ Esports,Ascent,1
FNATIC,Team Vitality,Haven,1
FNATIC,Team Vitality,Ascent,0
FNATIC,Team Vitality,Lotus,1
FNATIC,Team Vitality,Bind,1
EDward Gaming,FunPlus Phoenix,Sunset,1
EDward Gaming,FunPlus Phoenix,Abyss,0
EDward Gaming,FunPlus Phoenix,Haven,1
EDward Gaming,FunPlus Phoenix,Icebox,0
EDward Gaming,FunPlus Phoenix,Bind,1
DRX,Paper Rex,Abyss,0
DRX,Paper Rex,Lotus,0
DRX,Paper Rex,Bind,1
DRX,Paper Rex,Icebox,1
DRX,Paper Rex,Ascent,1
KRÜ Esports,100 Thieves,Icebox,0
KRÜ Esports,100 Thieves,Lotus,1
KRÜ Esports,100 Thieves,Ascent,1
LEVIATÁN,G2 Esports,Icebox,0
LEVIATÁN,G2 Esports,Bind,0
Team Vitality,Team Heretics,Icebox,0
Team Vitality,Team Heretics,Sunset,1
Team Vitality,Team Heretics,Lotus,1
Team Vitality,Team Heretics,Haven,1
Trace Esports,FunPlus Phoenix,Lotus,1
Trace Esports,FunPlus Phoenix,Ascent,1
Trace Esports,FunPlus Phoenix,Abyss,0
Trace Esports,FunPlus Phoenix,Bind,0
Trace Esports,FunPlus Phoenix,Haven,0
G2 Esports,100 Thieves,Lotus,1
G2 Esports,100 Thieves,Abyss,1
LEVIATÁN,KRÜ Esports,Icebox,1
LEVIATÁN,KRÜ Esports,Sunset,1
FunPlus Phoenix,Bilibili Gaming,Ascent,1
FunPlus Phoenix,Bilibili Gaming,Icebox,0
FunPlus Phoenix,Bilibili Gaming,Lotus,1
Trace Esports,EDward Gaming,Sunset,0
Trace Esports,EDward Gaming,Abyss,0
Sentinels,100 Thieves,Haven,0
Sentinels,100 Thieves,Ascent,0
KRÜ Esports,Cloud9,Abyss,1
KRÜ Esports,Cloud9,Lotus,0
KRÜ Esports,Cloud9,Haven,1
Team Heretics,FUT Esports,Abyss,1
Team Heretics,FUT Esports,Sunset,1
Team Vitality,FNATIC,Lotus,0
Team Vitality,FNATIC,Sunset,0
EDward Gaming,Bilibili Gaming,Sunset,1
EDward Gaming,Bilibili Gaming,Bind,0
EDward Gaming,Bilibili Gaming,Lotus,1
FunPlus Phoenix,Trace Esports,Ascent,0
FunPlus Phoenix,Trace Esports,Haven,0
FUT Esports,FNATIC,Sunset,0
FUT Esports,FNATIC,Haven,0
Team Heretics,Team Vitality,Icebox,1
Team Heretics,Team Vitality,Sunset,0
Team Heretics,Team Vitality,Bind,0
JDG Esports,Bilibili Gaming,Sunset,0
JDG Esports,Bilibili Gaming,Icebox,0
Trace Esports,All Gamers,Lotus,1
Trace Esports,All Gamers,Sunset,1
FNATIC,Karmine Corp,Icebox,0
FNATIC,Karmine Corp,Sunset,1
FNATIC,Karmine Corp,Lotus,1
Team Vitality,Natus Vincere,Haven,0
Team Vitality,Natus Vincere,Sunset,1
Team Vitality,Natus Vincere,Ascent,1
Sentinels,G2 Esports,Bind,0
Sentinels,G2 Esports,Lotus,0
LOUD,100 Thieves,Ascent,0
LOUD,100 Thieves,Bind,1
LOUD,100 Thieves,Lotus,1
Paper Rex,TALON,Ascent,1
Paper Rex,TALON,Sunset,1
LEVIATÁN,FURIA,Sunset,1
LEVIATÁN,FURIA,Icebox,1
Evil Geniuses,MIBR,Bind,0
Evil Geniuses,MIBR,Lotus,0
DRX,TALON,Ascent,1
DRX,TALON,Abyss,1
Cloud9,KRÜ Esports,Icebox,0
Cloud9,KRÜ Esports,Split,0
Team Secret,TALON,Lotus,0
Team Secret,TALON,Abyss,0
Team Vitality,Karmine Corp,Icebox,1
Team Vitality,Karmine Corp,Lotus,0
Team Vitality,Karmine Corp,Sunset,1
Natus Vincere,Gentle Mates,Sunset,1
Natus Vincere,Gentle Mates,Ascent,0
Natus Vincere,Gentle Mates,Split,1
FNATIC,Team Liquid,Icebox,1
FNATIC,Team Liquid,Haven,1
Team Heretics,KOI,Icebox,0
Team Heretics,KOI,Bind,1
Team Heretics,KOI,Haven,1
FUT Esports,GIANTX,Split,1
FUT Esports,GIANTX,Lotus,1
Evil Geniuses,100 Thieves,Lotus,0
Evil Geniuses,100 Thieves,Bind,1
Evil Geniuses,100 Thieves,Ascent,0
NRG Esports,Cloud9,Ascent,1
NRG Esports,Cloud9,Icebox,0
NRG Esports,Cloud9,Sunset,0
MIBR,FURIA,Sunset,0
MIBR,FURIA,Icebox,0
Paper Rex,ZETA DIVISION,Ascent,0
Paper Rex,ZETA DIVISION,Lotus,1
Paper Rex,ZETA DIVISION,Sunset,1
TYLOO,FunPlus Phoenix,Icebox,0
TYLOO,FunPlus Phoenix,Haven,1
TYLOO,FunPlus Phoenix,Ascent,1
JDG Esports,All Gamers,Haven,1
JDG Esports,All Gamers,Icebox,1
LOUD,LEVIATÁN,Lotus,0
LOUD,LEVIATÁN,Icebox,0
G2 Esports,KRÜ Esports,Lotus,0
G2 Esports,KRÜ Esports,Ascent,1
G2 Esports,KRÜ Esports,Split,1
EDward Gaming,Bilibili Gaming,Icebox,1
EDward Gaming,Bilibili Gaming,Haven,1
ZETA DIVISION,TALON,Ascent,1
ZETA DIVISION,TALON,Lotus,0
ZETA DIVISION,TALON,Haven,1
Trace Esports,Titan Esports Club,Lotus,1
Trace Esports,Titan Esports Club,Bind,0
Trace Esports,Titan Esports Club,Haven,1
DRX,DetonatioN FocusMe,Icebox,1
DRX,DetonatioN FocusMe,Ascent,0
DRX,DetonatioN FocusMe,Haven,1
Team Heretics,Gentle Mates,Sunset,1
Team Heretics,Gentle Mates,Icebox,0
Team Heretics,Gentle Mates,Lotus,1
BBL Esports,Team Vitality,Ascent,0
BBL Esports,Team Vitality,Sunset,1
BBL Esports,Team Vitality,Lotus,0
Dragon Ranger Gaming,Wolves Esports,Icebox,0
Dragon Ranger Gaming,Wolves Esports,Ascent,0
TYLOO,JDG Esports,Haven,0
TYLOO,JDG Esports,Icebox,0
Paper Rex,Rex Regum Qeon,Lotus,1
Paper Rex,Rex Regum Qeon,Ascent,0
Paper Rex,Rex Regum Qeon,Sunset,1
Team Liquid,Karmine Corp,Bind,1
Team Liquid,Karmine Corp,Sunset,1
KOI,Natus Vincere,Split,1
KOI,Natus Vincere,Icebox,1
Titan Esports Club,FunPlus Phoenix,Lotus,1
Titan Esports Club,FunPlus Phoenix,Sunset,1
NRG Esports,KRÜ Esports,Split,0
NRG Esports,KRÜ Esports,Ascent,1
NRG Esports,KRÜ Esports,Sunset,1
MIBR,100 Thieves,Icebox,0
MIBR,100 Thieves,Split,0
FUT Esports,Gentle Mates,Sunset,1
FUT Esports,Gentle Mates,Split,1
Team Heretics,GIANTX,Bind,1
Team Heretics,GIANTX,Split,0
Team Heretics,GIANTX,Haven,1
All Gamers,Trace Esports,Haven,0
All Gamers,Trace Esports,Sunset,0
LOUD,FURIA,Haven,1
LOUD,FURIA,Icebox,0
LOUD,FURIA,Bind,0
Evil Geniuses,LEVIATÁN,Icebox,0
Evil Geniuses,LEVIATÁN,Sunset,0
Sentinels,Cloud9,Haven,1
Sentinels,Cloud9,Split,1
NRG Esports,G2 Esports,Haven,0
NRG Esports,G2 Esports,Bind,0
DRX,TALON,Ascent,0
DRX,TALON,Haven,1
DRX,TALON,Icebox,1
Paper Rex,DetonatioN FocusMe,Icebox,1
Paper Rex,DetonatioN FocusMe,Sunset,1
LEVIATÁN,100 Thieves,Bind,1
LEVIATÁN,100 Thieves,Haven,1
LOUD,MIBR,Ascent,1
LOUD,MIBR,Lotus,0
LOUD,MIBR,Sunset,1
EDward Gaming,Nova Esports,Lotus,1
EDward Gaming,Nova Esports,Bind,1
Bilibili Gaming,Dragon Ranger Gaming,Lotus,1
Bilibili Gaming,Dragon Ranger Gaming,Ascent,1
Global Esports,T1,Icebox,1
Global Esports,T1,Lotus,0
Global Esports,T1,Ascent,0
Sentinels,KRÜ Esports,Lotus,1
Sentinels,KRÜ Esports,Split,1
Evil Geniuses,FURIA,Bind,1
Evil Geniuses,FURIA,Lotus,1
All Gamers,FunPlus Phoenix,Sunset,0
All Gamers,FunPlus Phoenix,Haven,1
All Gamers,FunPlus Phoenix,Ascent,0
ZETA DIVISION,Rex Regum Qeon,Split,0
ZETA DIVISION,Rex Regum Qeon,Sunset,0
Titan Esports Club,TYLOO,Bind,0
Titan Esports Club,TYLOO,Ascent,1
Titan Esports Club,TYLOO,Icebox,0
TALON,DetonatioN FocusMe,Lotus,1
TALON,DetonatioN FocusMe,Sunset,1
FNATIC,Karmine Corp,Haven,1
FNATIC,Karmine Corp,Lotus,1
KOI,Gentle Mates,Sunset,0
KOI,Gentle Mates,Split,0
JDG Esports,Trace Esports,Bind,1
JDG Esports,Trace Esports,Sunset,0
JDG Esports,Trace Esports,Haven,1
Nova Esports,Wolves Esports,Icebox,1
Nova Esports,Wolves Esports,Sunset,1
Natus Vincere,GIANTX,Lotus,0
Natus Vincere,GIANTX,Ascent,0
BBL Esports,Team Liquid,Lotus,1
BBL Esports,Team Liquid,Ascent,1
EDward Gaming,Dragon Ranger Gaming,Lotus,0
EDward Gaming,Dragon Ranger Gaming,Haven,0
FNATIC,Team Vitality,Haven,1
FNATIC,Team Vitality,Icebox,0
FNATIC,Team Vitality,Lotus,1
Team Heretics,FUT Esports,Sunset,1
Team Heretics,FUT Esports,Split,1
JDG Esports,FunPlus Phoenix,Sunset,0
JDG Esports,FunPlus Phoenix,Haven,0
KOI,GIANTX,Sunset,1
KOI,GIANTX,Icebox,1
G2 Esports,Cloud9,Ascent,1
G2 Esports,Cloud9,Icebox,0
G2 Esports,Cloud9,Lotus,1
Team Secret,T1,Haven,0
Team Secret,T1,Split,1
Team Secret,T1,Icebox,1
DRX,Rex Regum Qeon,Split,0
DRX,Rex Regum Qeon,Sunset,0
LOUD,Evil Geniuses,Lotus,1
LOUD,Evil Geniuses,Sunset,0
LOUD,Evil Geniuses,Icebox,0
FURIA,100 Thieves,Icebox,1
FURIA,100 Thieves,Haven,1
Nova Esports,Bilibili Gaming,Split,1
Nova Esports,Bilibili Gaming,Bind,0
Nova Esports,Bilibili Gaming,Ascent,0
DetonatioN FocusMe,ZETA DIVISION,Haven,0
DetonatioN FocusMe,ZETA DIVISION,Sunset,1
DetonatioN FocusMe,ZETA DIVISION,Ascent,1
TYLOO,Trace Esports,Split,0
TYLOO,Trace Esports,Sunset,1
TYLOO,Trace Esports,Haven,0
Sentinels,NRG Esports,Lotus,1
Sentinels,NRG Esports,Sunset,1
MIBR,LEVIATÁN,Ascent,0
MIBR,LEVIATÁN,Icebox,0
Paper Rex,DRX,Split,1
Paper Rex,DRX,Haven,0
Paper Rex,DRX,Icebox,1
EDward Gaming,Wolves Esports,Split,1
EDward Gaming,Wolves Esports,Bind,0
EDward Gaming,Wolves Esports,Icebox,0
Titan Esports Club,All Gamers,Sunset,0
Titan Esports Club,All Gamers,Icebox,0
TALON,Rex Regum Qeon,Lotus,1
TALON,Rex Regum Qeon,Ascent,0
TALON,Rex Regum Qeon,Icebox,1
Natus Vincere,FUT Esports,Ascent,0
Natus Vincere,FUT Esports,Lotus,0
BBL Esports,Karmine Corp,Lotus,0
BBL Esports,Karmine Corp,Sunset,0
FunPlus Phoenix,Trace Esports,Haven,1
FunPlus Phoenix,Trace Esports,Lotus,0
FunPlus Phoenix,Trace Esports,Sunset,0
Dragon Ranger Gaming,Nova Esports,Ascent,1
Dragon Ranger Gaming,Nova Esports,Lotus,0
Dragon Ranger Gaming,Nova Esports,Sunset,0
Team Vitality,Team Liquid,Lotus,1
Team Vitality,Team Liquid,Icebox,1
GIANTX,Gentle Mates,Split,0
GIANTX,Gentle Mates,Sunset,1
GIANTX,Gentle Mates,Breeze,1
Team Heretics,Natus Vincere,Sunset,1
Team Heretics,Natus Vincere,Bind,1
BBL Esports,FNATIC,Ascent,0
BBL Esports,FNATIC,Bind,1
BBL Esports,FNATIC,Lotus,0
FUT Esports,KOI,Split,1
FUT Esports,KOI,Lotus,0
FUT Esports,KOI,Sunset,1
Team Secret,Global Esports,Sunset,1
Team Secret,Global Esports,Ascent,1
Rex Regum Qeon,DetonatioN FocusMe,Icebox,1
Rex Regum Qeon,DetonatioN FocusMe,Ascent,1
Paper Rex,TALON,Icebox,1
Paper Rex,TALON,Sunset,1
Bilibili Gaming,Wolves Esports,Sunset,1
Bilibili Gaming,Wolves Esports,Bind,1
All Gamers,TYLOO,Sunset,1
All Gamers,TYLOO,Icebox,1
Titan Esports Club,JDG Esports,Icebox,0
Titan Esports Club,JDG Esports,Lotus,0
ZETA DIVISION,DRX,Icebox,0
ZETA DIVISION,DRX,Sunset,1
ZETA DIVISION,DRX,Breeze,0
G2 Esports,Team Heretics,Bind,0
G2 Esports,Team Heretics,Icebox,0
G2 Esports,Team Heretics,Lotus,0
100 Thieves,Team Heretics,Bind,0
100 Thieves,Team Heretics,Sunset,0
Team Heretics,FUT Esports,Bind,1
Team Heretics,FUT Esports,Sunset,1
100 Thieves,Paper Rex,Breeze,1
100 Thieves,Paper Rex,Sunset,0
100 Thieves,Paper Rex,Icebox,1
G2 Esports,Team Heretics,Icebox,0
G2 Esports,Team Heretics,Ascent,1
G2 Esports,Team Heretics,Lotus,1
Paper Rex,EDward Gaming,Bind,1
Paper Rex,EDward Gaming,Sunset,1
FUT Esports,FNATIC,Split,0
FUT Esports,FNATIC,Lotus,1
FUT Esports,FNATIC,Ascent,1
EDward Gaming,Team Heretics,Sunset,0
EDward Gaming,Team Heretics,Split,0
Paper Rex,G2 Esports,Split,1
Paper Rex,G2 Esports,Lotus,0
Paper Rex,G2 Esports,Bind,0
100 Thieves,FUT Esports,Icebox,1
100 Thieves,FUT Esports,Bind,1
FUT Esports,LEVIATÁN,Sunset,1
FUT Esports,LEVIATÁN,Lotus,0
FUT Esports,LEVIATÁN,Bind,1
FunPlus Phoenix,Team Heretics,Sunset,0
FunPlus Phoenix,Team Heretics,Lotus,1
FunPlus Phoenix,Team Heretics,Icebox,0
Dragon Ranger Gaming,FUT Esports,Bind,0
Dragon Ranger Gaming,FUT Esports,Ascent,0
LEVIATÁN,T1,Breeze,1
LEVIATÁN,T1,Sunset,1
G2 Esports,Team Heretics,Lotus,0
G2 Esports,Team Heretics,Bind,1
G2 Esports,Team Heretics,Split,1
Team Heretics,Dragon Ranger Gaming,Icebox,1
Team Heretics,Dragon Ranger Gaming,Sunset,1
FunPlus Phoenix,FUT Esports,Sunset,1
FunPlus Phoenix,FUT Esports,Lotus,0
FunPlus Phoenix,FUT Esports,Icebox,1
G2 Esports,T1,Breeze,1
G2 Esports,T1,Icebox,0
G2 Esports,T1,Lotus,1
100 Thieves,G2 Esports,Bind,1
100 Thieves,G2 Esports,Breeze,1
100 Thieves,G2 Esports,Sunset,1
Team Heretics,FNATIC,Sunset,1
Team Heretics,FNATIC,Bind,1
Team Heretics,FNATIC,Lotus,0
Team Heretics,FNATIC,Split,0
Team Heretics,FNATIC,Breeze,0
FunPlus Phoenix,EDward Gaming,Lotus,1
FunPlus Phoenix,EDward Gaming,Bind,0
FunPlus Phoenix,EDward Gaming,Icebox,0
FunPlus Phoenix,EDward Gaming,Breeze,0
G2 Esports,LEVIATÁN,Bind,0
G2 Esports,LEVIATÁN,Breeze,1
G2 Esports,LEVIATÁN,Icebox,0
G2 Esports,LEVIATÁN,Lotus,1
G2 Esports,LEVIATÁN,Ascent,1
FNATIC,FUT Esports,Icebox,0
FNATIC,FUT Esports,Bind,1
FNATIC,FUT Esports,Breeze,1
FNATIC,FUT Esports,Split,1
EDward Gaming,Dragon Ranger Gaming,Breeze,1
EDward Gaming,Dragon Ranger Gaming,Split,1
EDward Gaming,Dragon Ranger Gaming,Ascent,0
EDward Gaming,Dragon Ranger Gaming,Bind,1
KRÜ Esports,LEVIATÁN,Lotus,1
KRÜ Esports,LEVIATÁN,Icebox,0
KRÜ Esports,LEVIATÁN,Sunset,0
G2 Esports,100 Thieves,Ascent,0
G2 Esports,100 Thieves,Bind,1
G2 Esports,100 Thieves,Split,0
Karmine Corp,FUT Esports,Icebox,0
Karmine Corp,FUT Esports,Sunset,0
FNATIC,Team Heretics,Lotus,0
FNATIC,Team Heretics,Breeze,0
Trace Esports,Dragon Ranger Gaming,Sunset,1
Trace Esports,Dragon Ranger Gaming,Split,0
Trace Esports,Dragon Ranger Gaming,Bind,0
FunPlus Phoenix,EDward Gaming,Icebox,1
FunPlus Phoenix,EDward Gaming,Breeze,1
LEVIATÁN,100 Thieves,Bind,0
LEVIATÁN,100 Thieves,Sunset,1
LEVIATÁN,100 Thieves,Icebox,0
KRÜ Esports,G2 Esports,Icebox,0
KRÜ Esports,G2 Esports,Ascent,0
FUT Esports,Team Heretics,Lotus,0
FUT Esports,Team Heretics,Split,0
Karmine Corp,FNATIC,Breeze,0
Karmine Corp,FNATIC,Bind,0
EDward Gaming,Dragon Ranger Gaming,Ascent,1
EDward Gaming,Dragon Ranger Gaming,Split,1
FunPlus Phoenix,Trace Esports,Bind,1
FunPlus Phoenix,Trace Esports,Lotus,1
100 Thieves,LOUD,Bind,1
100 Thieves,LOUD,Icebox,1
Cloud9,G2 Esports,Lotus,0
Cloud9,G2 Esports,Ascent,0
Natus Vincere,Team Heretics,Lotus,0
Natus Vincere,Team Heretics,Split,0
FNATIC,Team Liquid,Ascent,1
FNATIC,Team Liquid,Icebox,0
FNATIC,Team Liquid,Lotus,1
Dragon Ranger Gaming,Nova Esports,Bind,1
Dragon Ranger Gaming,Nova Esports,Ascent,1
Trace Esports,All Gamers,Sunset,1
Trace Esports,All Gamers,Breeze,1
G2 Esports,LOUD,Bind,0
G2 Esports,LOUD,Icebox,0
Cloud9,MIBR,Icebox,1
Cloud9,MIBR,Sunset,1
Trace Esports,EDward Gaming,Sunset,0
Trace Esports,EDward Gaming,Breeze,0
Nova Esports,Titan Esports Club,Split,1
Nova Esports,Titan Esports Club,Lotus,1
T1,Paper Rex,Lotus,0
T1,Paper Rex,Sunset,0
KRÜ Esports,LEVIATÁN,Ascent,0
KRÜ Esports,LEVIATÁN,Breeze,1
KRÜ Esports,LEVIATÁN,Lotus,0
NRG Esports,100 Thieves,Split,0
NRG Esports,100 Thieves,Bind,0
Bilibili Gaming,FunPlus Phoenix,Icebox,0
Bilibili Gaming,FunPlus Phoenix,Lotus,0
DRX,Paper Rex,Lotus,0
DRX,Paper Rex,Ascent,1
DRX,Paper Rex,Bind,0
Dragon Ranger Gaming,TYLOO,Bind,0
Dragon Ranger Gaming,TYLOO,Breeze,0
Sentinels,FURIA,Split,1
Sentinels,FURIA,Icebox,1
BBL Esports,FUT Esports,Bind,0
BBL Esports,FUT Esports,Icebox,0
Team Liquid,Gentle Mates,Lotus,1
Team Liquid,Gentle Mates,Icebox,1
Wolves Esports,JDG Esports,Lotus,0
Wolves Esports,JDG Esports,Ascent,0
Paper Rex,TALON,Lotus,1
Paper Rex,TALON,Sunset,1
Paper Rex,TALON,Bind,0
Team Secret,T1,Lotus,0
