Team1,Team2,Map,Result
Team Secret,T1,Sunset,0
Natus Vincere,FNATIC,Breeze,0
Natus Vincere,FNATIC,Ascent,1
Natus Vincere,FNATIC,Bind,1
Team Vitality,KOI,Split,0
Team Vitality,KOI,Breeze,1
Team Vitality,KOI,Icebox,0
EDward Gaming,All Gamers,Sunset,1
EDward Gaming,All Gamers,Icebox,1
Karmine Corp,Team Heretics,Icebox,0
Karmine Corp,Team Heretics,Lotus,1
Karmine Corp,Team Heretics,Bind,0
BBL Esports,GIANTX,Bind,0
BBL Esports,GIANTX,Sunset,0
KRÜ Esports,100 Thieves,Sunset,1
KRÜ Esports,100 Thieves,Breeze,0
KRÜ Esports,100 Thieves,Split,1
NRG Esports,Evil Geniuses,Ascent,0
NRG Esports,Evil Geniuses,Lotus,1
NRG Esports,Evil Geniuses,Sunset,0
Cloud9,FURIA,Ascent,0
Cloud9,FURIA,Lotus,1
Cloud9,FURIA,Bind,1
Bilibili Gaming,JDG Esports,Icebox,1
Bilibili Gaming,JDG Esports,Lotus,1
Team Secret,TALON,Sunset,1
Team Secret,TALON,Lotus,0
Team Secret,TALON,Breeze,0
All Gamers,Nova Esports,Lotus,1
All Gamers,Nova Esports,Bind,0
All Gamers,Nova Esports,Split,1
T1,ZETA DIVISION,Bind,0
T1,ZETA DIVISION,Lotus,1
T1,ZETA DIVISION,Sunset,1
Sentinels,LOUD,Lotus,0
Sentinels,LOUD,Icebox,0
G2 Esports,MIBR,Icebox,1
G2 Esports,MIBR,Bind,1
FunPlus Phoenix,EDward Gaming,Breeze,0
FunPlus Phoenix,EDward Gaming,Bind,1
FunPlus Phoenix,EDward Gaming,Ascent,1
Global Esports,DetonatioN FocusMe,Split,0
Global Esports,DetonatioN FocusMe,Lotus,1
Global Esports,DetonatioN FocusMe,Ascent,1
TYLOO,Wolves Esports,Sunset,0
TYLOO,Wolves Esports,Split,1
TYLOO,Wolves Esports,Ascent,0
Karmine Corp,KOI,Sunset,1
Karmine Corp,KOI,Icebox,0
Karmine Corp,KOI,Bind,1
Team Vitality,GIANTX,Lotus,0
Team Vitality,GIANTX,Breeze,1
Team Vitality,GIANTX,Sunset,1
Trace Esports,Dragon Ranger Gaming,Breeze,0
Trace Esports,Dragon Ranger Gaming,Sunset,0
Titan Esports Club,Bilibili Gaming,Sunset,1
Titan Esports Club,Bilibili Gaming,Bind,0
Titan Esports Club,Bilibili Gaming,Icebox,1
BBL Esports,Natus Vincere,Ascent,0
BBL Esports,Natus Vincere,Sunset,1
BBL Esports,Natus Vincere,Split,1
FNATIC,FUT Esports,Split,0
FNATIC,FUT Esports,Lotus,0
KRÜ Esports,LOUD,Split,1
KRÜ Esports,LOUD,Ascent,1
G2 Esports,LEVIATÁN,Breeze,0
G2 Esports,LEVIATÁN,Icebox,1
G2 Esports,LEVIATÁN,Lotus,0
Team Vitality,Gentle Mates,Icebox,0
Team Vitality,Gentle Mates,Sunset,0
Team Liquid,Team Heretics,Sunset,0
Team Liquid,Team Heretics,Bind,0
NRG Esports,MIBR,Split,1
NRG Esports,MIBR,Breeze,1
Sentinels,Evil Geniuses,Lotus,1
Sentinels,Evil Geniuses,Bind,0
Sentinels,Evil Geniuses,Sunset,0
Global Esports,Paper Rex,Sunset,0
Global Esports,Paper Rex,Icebox,0
Team Secret,DetonatioN FocusMe,Lotus,1
Team Secret,DetonatioN FocusMe,Breeze,0
Team Secret,DetonatioN FocusMe,Sunset,1
Cloud9,100 Thieves,Bind,0
Cloud9,100 Thieves,Ascent,0
G2 Esports,FURIA,Lotus,1
G2 Esports,FURIA,Icebox,1
T1,TALON,Lotus,0
T1,TALON,Bind,0
NRG Esports,LEVIATÁN,Sunset,0
NRG Esports,LEVIATÁN,Bind,0
KRÜ Esports,Evil Geniuses,Lotus,1
KRÜ Esports,Evil Geniuses,Breeze,1
EDward Gaming,Titan Esports Club,Ascent,1
EDward Gaming,Titan Esports Club,Sunset,1
Team Secret,Paper Rex,Icebox,1
Team Secret,Paper Rex,Sunset,1
TYLOO,Nova Esports,Icebox,0
TYLOO,Nova Esports,Ascent,1
TYLOO,Nova Esports,Split,1
Global Esports,Rex Regum Qeon,Lotus,1
Global Esports,Rex Regum Qeon,Icebox,1
Cloud9,LOUD,Bind,0
Cloud9,LOUD,Icebox,1
Cloud9,LOUD,Lotus,1
Sentinels,MIBR,Lotus,1
Sentinels,MIBR,Bind,1
Dragon Ranger Gaming,JDG Esports,Breeze,1
Dragon Ranger Gaming,JDG Esports,Icebox,0
Dragon Ranger Gaming,JDG Esports,Bind,1
Bilibili Gaming,All Gamers,Lotus,0
Bilibili Gaming,All Gamers,Bind,0
FNATIC,KOI,Bind,1
FNATIC,KOI,Icebox,1
Team Liquid,GIANTX,Lotus,0
Team Liquid,GIANTX,Icebox,1
Team Liquid,GIANTX,Ascent,1
Nova Esports,FunPlus Phoenix,Ascent,0
Nova Esports,FunPlus Phoenix,Lotus,0
Wolves Esports,Trace Esports,Ascent,0
Wolves Esports,Trace Esports,Lotus,0
Team Vitality,FUT Esports,Ascent,0
Team Vitality,FUT Esports,Icebox,1
Team Vitality,FUT Esports,Sunset,1
BBL Esports,Team Heretics,Split,1
BBL Esports,Team Heretics,Sunset,1
Karmine Corp,Natus Vincere,Bind,1
Karmine Corp,Natus Vincere,Sunset,0
Karmine Corp,Natus Vincere,Split,0
Gentle Mates,FNATIC,Breeze,0
Gentle Mates,FNATIC,Lotus,0
T1,Rex Regum Qeon,Ascent,1
T1,Rex Regum Qeon,Lotus,1
Cloud9,Evil Geniuses,Lotus,0
Cloud9,Evil Geniuses,Sunset,1
Cloud9,Evil Geniuses,Split,1
Global Esports,TALON,Icebox,1
Global Esports,TALON,Breeze,0
Global Esports,TALON,Lotus,0
NRG Esports,FURIA,Split,1
NRG Esports,FURIA,Breeze,1
KRÜ Esports,MIBR,Icebox,1
KRÜ Esports,MIBR,Sunset,1
TYLOO,EDward Gaming,Sunset,0
TYLOO,EDward Gaming,Bind,0
Dragon Ranger Gaming,Titan Esports Club,Breeze,0
Dragon Ranger Gaming,Titan Esports Club,Split,1
Dragon Ranger Gaming,Titan Esports Club,Icebox,1
Team Secret,ZETA DIVISION,Icebox,1
Team Secret,ZETA DIVISION,Lotus,0
Team Secret,ZETA DIVISION,Sunset,1
Sentinels,LEVIATÁN,Lotus,0
Sentinels,LEVIATÁN,Icebox,0
G2 Esports,100 Thieves,Bind,0
G2 Esports,100 Thieves,Split,0
Trace Esports,Bilibili Gaming,Split,0
Trace Esports,Bilibili Gaming,Breeze,1
Trace Esports,Bilibili Gaming,Bind,1
T1,DRX,Breeze,1
T1,DRX,Split,0
T1,DRX,Bind,0
All Gamers,Wolves Esports,Breeze,0
All Gamers,Wolves Esports,Icebox,0
Karmine Corp,Gentle Mates,Split,1
Karmine Corp,Gentle Mates,Icebox,1
FNATIC,GIANTX,Bind,1
FNATIC,GIANTX,Breeze,0
FNATIC,GIANTX,Split,1
FunPlus Phoenix,Dragon Ranger Gaming,Breeze,1
FunPlus Phoenix,Dragon Ranger Gaming,Icebox,0
FunPlus Phoenix,Dragon Ranger Gaming,Sunset,1
JDG Esports,Nova Esports,Sunset,1
JDG Esports,Nova Esports,Bind,0
JDG Esports,Nova Esports,Ascent,0
BBL Esports,KOI,Breeze,1
BBL Esports,KOI,Icebox,1
Team Liquid,Natus Vincere,Lotus,1
Team Liquid,Natus Vincere,Split,0
Team Liquid,Natus Vincere,Ascent,0
Team Vitality,Team Heretics,Breeze,1
Team Vitality,Team Heretics,Sunset,0
Team Vitality,Team Heretics,Icebox,1
Karmine Corp,FUT Esports,Bind,1
Karmine Corp,FUT Esports,Lotus,0
Karmine Corp,FUT Esports,Breeze,0
T1,DetonatioN FocusMe,Ascent,0
T1,DetonatioN FocusMe,Lotus,1
T1,DetonatioN FocusMe,Sunset,0
KRÜ Esports,FURIA,Lotus,1
KRÜ Esports,FURIA,Icebox,0
KRÜ Esports,FURIA,Breeze,1
Global Esports,DRX,Ascent,0
Global Esports,DRX,Lotus,0
Team Secret,Rex Regum Qeon,Breeze,0
Team Secret,Rex Regum Qeon,Split,1
Team Secret,Rex Regum Qeon,Icebox,0
Sentinels,100 Thieves,Icebox,1
Sentinels,100 Thieves,Split,1
G2 Esports,Evil Geniuses,Lotus,1
G2 Esports,Evil Geniuses,Icebox,1
T1,Paper Rex,Lotus,0
T1,Paper Rex,Bind,0
FunPlus Phoenix,Wolves Esports,Ascent,1
FunPlus Phoenix,Wolves Esports,Lotus,1
Nova Esports,Trace Esports,Lotus,0
Nova Esports,Trace Esports,Ascent,0
NRG Esports,LOUD,Breeze,1
NRG Esports,LOUD,Sunset,1
Cloud9,LEVIATÁN,Icebox,0
Cloud9,LEVIATÁN,Sunset,1
Cloud9,LEVIATÁN,Ascent,1
EDward Gaming,JDG Esports,Ascent,1
EDward Gaming,JDG Esports,Bind,0
EDward Gaming,JDG Esports,Split,1
Team Secret,DRX,Sunset,0
Team Secret,DRX,Lotus,0
Dragon Ranger Gaming,All Gamers,Icebox,1
Dragon Ranger Gaming,All Gamers,Sunset,0
Dragon Ranger Gaming,All Gamers,Breeze,0
Global Esports,ZETA DIVISION,Sunset,0
Global Esports,ZETA DIVISION,Icebox,1
Global Esports,ZETA DIVISION,Ascent,0
BBL Esports,Gentle Mates,Ascent,0
BBL Esports,Gentle Mates,Sunset,0
Team Liquid,FUT Esports,Split,0
Team Liquid,FUT Esports,Icebox,0
Wolves Esports,Titan Esports Club,Split,1
Wolves Esports,Titan Esports Club,Bind,0
Wolves Esports,Titan Esports Club,Lotus,0
Bilibili Gaming,TYLOO,Bind,0
Bilibili Gaming,TYLOO,Icebox,1
Bilibili Gaming,TYLOO,Lotus,1
FNATIC,Team Heretics,Icebox,0
FNATIC,Team Heretics,Lotus,0
Team Vitality,Natus Vincere,Bind,0
Team Vitality,Natus Vincere,Lotus,0
KOI,Team Liquid,Split,0
KOI,Team Liquid,Ascent,0
Karmine Corp,GIANTX,Breeze,1
Karmine Corp,GIANTX,Sunset,1
Sentinels,Paper Rex,Lotus,1
Sentinels,Paper Rex,Ascent,1
Sentinels,Paper Rex,Split,0
Sentinels,Paper Rex,Sunset,1
Paper Rex,LOUD,Ascent,1
Paper Rex,LOUD,Sunset,1
Sentinels,LOUD,Split,1
Sentinels,LOUD,Icebox,0
Sentinels,LOUD,Sunset,1
Karmine Corp,Paper Rex,Bind,0
Karmine Corp,Paper Rex,Lotus,1
Karmine Corp,Paper Rex,Ascent,0
LOUD,EDward Gaming,Icebox,1
LOUD,EDward Gaming,Sunset,1
Team Heretics,Paper Rex,Sunset,0
Team Heretics,Paper Rex,Lotus,1
Team Heretics,Paper Rex,Split,0
FunPlus Phoenix,LOUD,Sunset,0
FunPlus Phoenix,LOUD,Breeze,0
Sentinels,Karmine Corp,Split,1
Sentinels,Karmine Corp,Lotus,1
Sentinels,Team Heretics,Lotus,1
Sentinels,Team Heretics,Sunset,0
Sentinels,Team Heretics,Bind,1
EDward Gaming,Paper Rex,Sunset,0
EDward Gaming,Paper Rex,Bind,1
EDward Gaming,Paper Rex,Split,1
Karmine Corp,FunPlus Phoenix,Icebox,1
Karmine Corp,FunPlus Phoenix,Lotus,1
LOUD,Sentinels,Sunset,0
LOUD,Sentinels,Split,0
LOUD,Sentinels,Icebox,1
LOUD,Sentinels,Bind,1
LOUD,Sentinels,Lotus,0
NRG Esports,Sentinels,Sunset,0
NRG Esports,Sentinels,Ascent,1
NRG Esports,Sentinels,Split,0
Evil Geniuses,LOUD,Ascent,1
Evil Geniuses,LOUD,Icebox,0
Evil Geniuses,LOUD,Sunset,0
FunPlus Phoenix,EDward Gaming,Breeze,0
FunPlus Phoenix,EDward Gaming,Split,0
FunPlus Phoenix,EDward Gaming,Icebox,1
FunPlus Phoenix,EDward Gaming,Ascent,0
Team Heretics,Karmine Corp,Sunset,1
Team Heretics,Karmine Corp,Lotus,0
Team Heretics,Karmine Corp,Icebox,0
Team Heretics,Karmine Corp,Split,0
EDward Gaming,Trace Esports,Sunset,1
EDward Gaming,Trace Esports,Bind,1
FunPlus Phoenix,Dragon Ranger Gaming,Ascent,1
FunPlus Phoenix,Dragon Ranger Gaming,Breeze,1
FNATIC,Karmine Corp,Lotus,0
FNATIC,Karmine Corp,Split,0
Team Heretics,Natus Vincere,Sunset,1
Team Heretics,Natus Vincere,Breeze,1
Bilibili Gaming,Trace Esports,Lotus,1
Bilibili Gaming,Trace Esports,Sunset,0
Bilibili Gaming,Trace Esports,Bind,0
Bilibili Gaming,Titan Esports Club,Lotus,1
Bilibili Gaming,Titan Esports Club,Ascent,1
Trace Esports,Titan Esports Club,Breeze,0
Trace Esports,Titan Esports Club,Lotus,1
Trace Esports,Titan Esports Club,Split,1
Sentinels,G2 Esports,Sunset,1
Sentinels,G2 Esports,Breeze,0
Sentinels,G2 Esports,Split,0
G2 Esports,MIBR,Sunset,0
G2 Esports,MIBR,Split,1
G2 Esports,MIBR,Breeze,0
MIBR,Sentinels,Split,0
MIBR,Sentinels,Ascent,0
Karmine Corp,KOI,Sunset,1
Karmine Corp,KOI,Bind,1
KOI,Team Vitality,Sunset,0
KOI,Team Vitality,Breeze,0
Karmine Corp,Team Vitality,Sunset,1
Karmine Corp,Team Vitality,Ascent,1
Wolves Esports,Bilibili Gaming,Sunset,0
Wolves Esports,Bilibili Gaming,Icebox,0
Titan Esports Club,JDG Esports,Bind,0
Titan Esports Club,JDG Esports,Icebox,1
Titan Esports Club,JDG Esports,Lotus,1
Trace Esports,Nova Esports,Split,1
Trace Esports,Nova Esports,Lotus,1
G2 Esports,KRÜ Esports,Split,1
G2 Esports,KRÜ Esports,Sunset,1
LEVIATÁN,Sentinels,Split,0
LEVIATÁN,Sentinels,Breeze,1
LEVIATÁN,Sentinels,Bind,0
Cloud9,MIBR,Bind,0
Cloud9,MIBR,Ascent,0
Team Liquid,KOI,Sunset,0
Team Liquid,KOI,Icebox,1
Team Liquid,KOI,Split,0
Karmine Corp,FUT Esports,Lotus,1
Karmine Corp,FUT Esports,Bind,0
Karmine Corp,FUT Esports,Sunset,1
Wolves Esports,EDward Gaming,Bind,0
Wolves Esports,EDward Gaming,Ascent,1
Wolves Esports,EDward Gaming,Breeze,0
Team Vitality,Gentle Mates,Breeze,0
Team Vitality,Gentle Mates,Lotus,1
Team Vitality,Gentle Mates,Sunset,1
Titan Esports Club,Dragon Ranger Gaming,Icebox,0
Titan Esports Club,Dragon Ranger Gaming,Split,1
Titan Esports Club,Dragon Ranger Gaming,Bind,0
Trace Esports,FunPlus Phoenix,Sunset,0
Trace Esports,FunPlus Phoenix,Bind,1
Trace Esports,FunPlus Phoenix,Lotus,0
G2 Esports,Evil Geniuses,Sunset,0
G2 Esports,Evil Geniuses,Icebox,0
JDG Esports,All Gamers,Icebox,1
JDG Esports,All Gamers,Sunset,1
TYLOO,Nova Esports,Ascent,0
TYLOO,Nova Esports,Split,0
T1,Paper Rex,Split,0
T1,Paper Rex,Ascent,0
LOUD,LEVIATÁN,Bind,0
LOUD,LEVIATÁN,Split,1
LOUD,LEVIATÁN,Ascent,1
NRG Esports,Cloud9,Sunset,1
NRG Esports,Cloud9,Ascent,1
Team Vitality,FNATIC,Lotus,0
Team Vitality,FNATIC,Ascent,0
BBL Esports,KOI,Bind,0
BBL Esports,KOI,Split,0
Natus Vincere,Team Liquid,Split,1
Natus Vincere,Team Liquid,Breeze,1
Bilibili Gaming,Wolves Esports,Ascent,0
Bilibili Gaming,Wolves Esports,Icebox,0
Dragon Ranger Gaming,All Gamers,Sunset,1
Dragon Ranger Gaming,All Gamers,Ascent,1
JDG Esports,Titan Esports Club,Lotus,0
JDG Esports,Titan Esports Club,Bind,0
FUT Esports,GIANTX,Split,1
FUT Esports,GIANTX,Icebox,0
FUT Esports,GIANTX,Sunset,1
Team Heretics,Karmine Corp,Split,1
Team Heretics,Karmine Corp,Lotus,1
FunPlus Phoenix,Nova Esports,Lotus,1
FunPlus Phoenix,Nova Esports,Sunset,1
ZETA DIVISION,Team Secret,Icebox,0
ZETA DIVISION,Team Secret,Ascent,0
Trace Esports,TYLOO,Ascent,1
Trace Esports,TYLOO,Sunset,1
Team Vitality,Gentle Mates,Sunset,1
Team Vitality,Gentle Mates,Lotus,1
Team Liquid,KOI,Icebox,1
Team Liquid,KOI,Bind,1
Natus Vincere,BBL Esports,Bind,0
Natus Vincere,BBL Esports,Ascent,1
Natus Vincere,BBL Esports,Breeze,1
ZETA DIVISION,Global Esports,Bind,1
ZETA DIVISION,Global Esports,Lotus,1
TALON,Team Secret,Breeze,0
TALON,Team Secret,Ascent,0
GIANTX,Karmine Corp,Split,0
GIANTX,Karmine Corp,Sunset,1
GIANTX,Karmine Corp,Lotus,0
FUT Esports,Team Heretics,Lotus,0
FUT Esports,Team Heretics,Bind,0
DRX,TALON,Split,1
DRX,TALON,Ascent,1
DetonatioN FocusMe,Team Secret,Lotus,0
DetonatioN FocusMe,Team Secret,Breeze,0
Sentinels,100 Thieves,Lotus,1
Sentinels,100 Thieves,Bind,0
Sentinels,100 Thieves,Split,1
FURIA,MIBR,Split,0
FURIA,MIBR,Breeze,0
T1,ZETA DIVISION,Ascent,0
T1,ZETA DIVISION,Lotus,1
T1,ZETA DIVISION,Sunset,1
KRÜ Esports,G2 Esports,Icebox,1
KRÜ Esports,G2 Esports,Sunset,0
KRÜ Esports,G2 Esports,Ascent,0
DRX,DetonatioN FocusMe,Lotus,1
DRX,DetonatioN FocusMe,Breeze,1
Team Secret,TALON,Breeze,0
Team Secret,TALON,Ascent,0
ZETA DIVISION,Global Esports,Bind,1
ZETA DIVISION,Global Esports,Icebox,1
LEVIATÁN,100 Thieves,Bind,1
LEVIATÁN,100 Thieves,Split,0
LEVIATÁN,100 Thieves,Icebox,1
LOUD,Sentinels,Split,1
LOUD,Sentinels,Ascent,1
Cloud9,MIBR,Bind,1
Cloud9,MIBR,Split,0
Cloud9,MIBR,Lotus,1
NRG Esports,FURIA,Breeze,1
NRG Esports,FURIA,Ascent,1
Cloud9,100 Thieves,Lotus,0
Cloud9,100 Thieves,Sunset,1
Cloud9,100 Thieves,Icebox,1
Team Vitality,FUT Esports,Ascent,1
Team Vitality,FUT Esports,Sunset,0
Team Vitality,FUT Esports,Lotus,0
Team Vitality,FUT Esports,Haven,0
Global Esports,FURIA,Sunset,1
Global Esports,FURIA,Breeze,0
Global Esports,FURIA,Haven,1
FURIA,Team Vitality,Breeze,0
FURIA,Team Vitality,Lotus,0
Global Esports,Team Vitality,Sunset,0
Global Esports,Team Vitality,Breeze,0
Sentinels,Paper Rex,Split,1
Sentinels,Paper Rex,Sunset,1
Sentinels,Paper Rex,Breeze,1
T1,Paper Rex,Sunset,0
T1,Paper Rex,Lotus,0
Sentinels,Team Liquid,Split,1
Sentinels,Team Liquid,Haven,0
Sentinels,Team Liquid,Sunset,1
Team Liquid,EDward Gaming,Haven,1
Team Liquid,EDward Gaming,Lotus,1
Team Liquid,T1,Lotus,1
Team Liquid,T1,Breeze,0
Team Liquid,T1,Ascent,0
DRX,Paper Rex,Lotus,0
DRX,Paper Rex,Breeze,0
Sentinels,DRX,Bind,1
Sentinels,DRX,Split,1
T1,EDward Gaming,Bind,1
T1,EDward Gaming,Lotus,1
Sentinels,Paper Rex,Breeze,1
Sentinels,Paper Rex,Sunset,0
Sentinels,Paper Rex,Haven,1
EDward Gaming,FunPlus Phoenix,Haven,0
EDward Gaming,FunPlus Phoenix,Lotus,1
EDward Gaming,FunPlus Phoenix,Breeze,1
EDward Gaming,FunPlus Phoenix,Sunset,1
Trace Esports,FunPlus Phoenix,Lotus,1
Trace Esports,FunPlus Phoenix,Sunset,0
Trace Esports,FunPlus Phoenix,Split,0
Trace Esports,Titan Esports Club,Sunset,1
Trace Esports,Titan Esports Club,Haven,1
Dragon Ranger Gaming,FunPlus Phoenix,Lotus,0
Dragon Ranger Gaming,FunPlus Phoenix,Ascent,0
Bilibili Gaming,Titan Esports Club,Lotus,0
Bilibili Gaming,Titan Esports Club,Breeze,0
Trace Esports,FunPlus Phoenix,Lotus,0
Trace Esports,FunPlus Phoenix,Sunset,1
Trace Esports,FunPlus Phoenix,Ascent,1
Dragon Ranger Gaming,Titan Esports Club,Bind,1
Dragon Ranger Gaming,Titan Esports Club,Ascent,1
LEVIATÁN,FURIA,Haven,1
LEVIATÁN,FURIA,Split,1
LEVIATÁN,FURIA,Lotus,1
Cloud9,FURIA,Lotus,0
Cloud9,FURIA,Breeze,0
LEVIATÁN,Cloud9,Haven,1
LEVIATÁN,Cloud9,Split,1
KRÜ Esports,FURIA,Breeze,0
KRÜ Esports,FURIA,Sunset,0
FURIA,Cloud9,Breeze,1
FURIA,Cloud9,Sunset,0
FURIA,Cloud9,Ascent,0
KRÜ Esports,LEVIATÁN,Lotus,0
KRÜ Esports,LEVIATÁN,Breeze,0
FunPlus Phoenix,All Gamers,Sunset,1
FunPlus Phoenix,All Gamers,Lotus,1
Cloud9,FNATIC,Bind,0
Cloud9,FNATIC,Breeze,1
Cloud9,FNATIC,Ascent,1
Cloud9,FNATIC,Lotus,0
Cloud9,FNATIC,Haven,0
FNATIC,DRX,Breeze,1
FNATIC,DRX,Ascent,1
FUT Esports,Cloud9,Sunset,0
FUT Esports,Cloud9,Lotus,1
FUT Esports,Cloud9,Haven,0
DRX,100 Thieves,Lotus,1
DRX,100 Thieves,Ascent,1
Cloud9,ZETA DIVISION,Ascent,0
Cloud9,ZETA DIVISION,Bind,1
Cloud9,ZETA DIVISION,Lotus,1
Sentinels,G2 Esports,Sunset,1
Sentinels,G2 Esports,Haven,1
BBL Esports,FUT Esports,Ascent,1
BBL Esports,FUT Esports,Lotus,1
Trace Esports,EDward Gaming,Haven,0
Trace Esports,EDward Gaming,Sunset,0
Trace Esports,EDward Gaming,Sunset,1
Trace Esports,EDward Gaming,Lotus,1
G2 Esports,Sentinels,Sunset,0
G2 Esports,Sentinels,Bind,0
G2 Esports,Sentinels,Ascent,1
Bilibili Gaming,Trace Esports,Split,0
TYLOO,FunPlus Phoenix,Lotus,0
TYLOO,FunPlus Phoenix,Split,0
Bilibili Gaming,EDward Gaming,Breeze,0
Bilibili Gaming,EDward Gaming,Split,0
Bilibili Gaming,Trace Esports,Lotus,1
Bilibili Gaming,Trace Esports,Bind,0
Bilibili Gaming,Trace Esports,Breeze,1
TYLOO,Dragon Ranger Gaming,Ascent,1
TYLOO,Dragon Ranger Gaming,Split,1
Cloud9,DRX,Split,0
Cloud9,DRX,Ascent,1
Cloud9,DRX,Lotus,1
EDward Gaming,DRX,Lotus,1
EDward Gaming,DRX,Breeze,0
EDward Gaming,DRX,Split,0
EDward Gaming,FunPlus Phoenix,Lotus,1
EDward Gaming,FunPlus Phoenix,Sunset,1
Bilibili Gaming,Trace Esports,Lotus,0
Bilibili Gaming,Trace Esports,Ascent,0
FunPlus Phoenix,Bilibili Gaming,Haven,1
FunPlus Phoenix,Bilibili Gaming,Bind,0
FunPlus Phoenix,Bilibili Gaming,Sunset,1
TYLOO,Trace Esports,Split,0
TYLOO,Trace Esports,Lotus,0
EDward Gaming,Trace Esports,Sunset,1
EDward Gaming,Trace Esports,Lotus,1
Trace Esports,Nova Esports,Bind,1
Trace Esports,Nova Esports,Sunset,1
Paper Rex,Evil Geniuses,Split,0
Paper Rex,Evil Geniuses,Ascent,1
Paper Rex,Evil Geniuses,Bind,0
Paper Rex,Evil Geniuses,Lotus,0
Evil Geniuses,LOUD,Ascent,1
Evil Geniuses,LOUD,Lotus,1
Evil Geniuses,LOUD,Pearl,0
Evil Geniuses,LOUD,Split,0
Evil Geniuses,LOUD,Bind,1
FNATIC,LOUD,Split,0
FNATIC,LOUD,Ascent,1
FNATIC,LOUD,Haven,0
Paper Rex,Evil Geniuses,Ascent,0
Paper Rex,Evil Geniuses,Bind,1
Paper Rex,Evil Geniuses,Pearl,1
DRX,FNATIC,Bind,1
DRX,FNATIC,Haven,0
DRX,FNATIC,Split,0
LOUD,EDward Gaming,Bind,0
LOUD,EDward Gaming,Ascent,1
LOUD,EDward Gaming,Haven,1
DRX,Evil Geniuses,Fracture,0
DRX,Evil Geniuses,Lotus,0
LOUD,Paper Rex,Lotus,0
